club_name,category,description,faculty_coordinator,joining_process
GNITS Coding Club,Technical,"The Coding Club promotes competitive programming, DSA practice, hackathons, and coding contests. Members participate in national and international coding competitions on platforms like CodeChef, LeetCode, and HackerRank.",Ms. T. Pavani,"Attend orientation in first week of semester, fill online form at gnits.ac.in/clubs, clear basic coding test"
IEEE Student Branch,Technical,"GNITS IEEE Student Branch organizes technical workshops, paper presentations, and seminars on emerging technologies. Members get access to IEEE digital library and networking opportunities.",Dr. K. Anuradha,"Register on IEEE website, pay annual membership fee of Rs.500, attend branch induction program"
CSI Student Chapter,Technical,"Computer Society of India student chapter at GNITS conducts programming contests, technical quizzes, and industry interaction sessions to bridge the gap between academics and industry.",Ms. R. Swetha,"Fill application form from CSI coordinator, attend interview, pay membership fee of Rs.300"
GNITS Robotics Club,Technical,"The Robotics Club focuses on building autonomous robots, participating in national robotics competitions, and learning about embedded systems and IoT. Regular workshops on Arduino and Raspberry Pi.",Mr. V. Kiran Kumar,"Submit application to faculty coordinator, demonstrate basic interest in electronics/programming, attend trial session"
Web Development Club,Technical,"Members learn web development technologies including HTML, CSS, JavaScript, React, and backend frameworks. Club builds web solutions for college events and departments.",Ms. B. Mounika,"Fill online form, complete beginner project assignment, attend club meeting"
AI/ML Club,Technical,"Focused on Artificial Intelligence and Machine Learning, this club conducts study groups, project collaborations, and workshops on Python, TensorFlow, scikit-learn, and data science.",Ms. T. Pavani,"Submit interest form, complete online Python quiz, attend orientation session"
Cybersecurity Club,Technical,"The Cybersecurity Club focuses on ethical hacking, CTF competitions, network security, and digital forensics. Members learn to identify and fix vulnerabilities.",Mr. V. Kiran Kumar,"Register via college portal, attend security awareness session, complete beginner module"
GNITS Entrepreneurship Cell,Entrepreneurship,"E-Cell promotes startup culture, innovation, and entrepreneurship among students. Organizes business plan competitions, startup talks, and mentorship programs.",Dr. P. Srinivasa Rao,"Express interest to faculty coordinator, attend E-Cell bootcamp, submit business idea pitch"
Cultural Club,Cultural,"The Cultural Club organizes all cultural activities including dance, music, drama, and traditional celebrations. Members participate in inter-college cultural fests.",Dr. V. Rama Devi,"Audition during first month of semester, demonstrate talent in any art form, attend rehearsals"
Drama Club,Cultural,"GNITS Drama Club stages plays, street plays, and mono-act performances for college events. Members are trained in acting, scriptwriting, and stage management.",Ms. M. Swapna,"Attend audition announced on college notice board, perform short scene, selected by faculty panel"
Music Club,Cultural,"The Music Club includes both vocal and instrumental musicians. Regular practice sessions and performances during college events. Western and classical Indian music both covered.",Ms. M. Swapna,"Attend auditions during first two weeks of semester, demonstrate singing or playing any instrument"
Dance Club,Cultural,"GNITS Dance Club covers classical, folk, and western dance forms. Members perform at cultural fests, inter-college competitions, and college events.",Dr. V. Rama Devi,"Attend dance audition announced on notice board, perform 1 minute routine, selected by coordinator"
Photography Club,Creative,"Photography Club trains members in DSLR photography, photo editing, videography, and documentation of college events. Has a photo studio and editing lab.",Mr. K. Raju,"Submit portfolio of 5 photos, attend orientation, borrow club camera for practice"
Literary Club,Creative,"The Literary Club organizes debates, elocutions, creative writing competitions, and book review sessions. Publishes annual college magazine.",Ms. P. Deepika,"Fill interest form, participate in one debate session, attend club meeting in first week"
NSS Unit,Social,"National Service Scheme unit at GNITS organizes blood donation camps, tree plantation drives, village adoption programs, and social awareness campaigns.",Dr. C. Sujatha,"Fill NSS enrollment form from student affairs office, attend orientation camp, commit to 240 hours of service"
NCC Unit,Social,"National Cadet Corps at GNITS offers Army wing training including drill, map reading, and adventure activities. NCC certificate provides advantages in government job selection.",Mr. G. Srinivas,"Appear for physical fitness test, medical examination, fill NCC enrollment form"
Sports Club,Sports,"GNITS Sports Club manages all sports activities including cricket, volleyball, basketball, badminton, and athletics. Members represent college in university and national level competitions.",Physical Education Director,"Try out for specific sport during first month, selected based on skill level, attend training sessions"
Quiz Club,Academic,"The Quiz Club organizes general knowledge, technical, and academic quizzes. Participates in inter-college quiz competitions and prepares students for competitive examinations.",Dr. P. Vijaya,"Attend introductory quiz session, demonstrate interest in general knowledge, fill membership form"
Environment Club,Social,"GNITS Green Club focuses on environmental awareness, sustainability initiatives, campus beautification, and organizing events on environment day and earth day.",Dr. K. Sarada,"Fill enrollment form, attend awareness session, commit to at least one initiative per semester"
ISTE Student Chapter,Technical,"Indian Society for Technical Education student chapter conducts technical events, faculty development interactions, and educational workshops.",Dr. N. Latha,"Pay ISTE membership fee of Rs.200, fill enrollment form, attend chapter meeting"
Women Empowerment Cell,Social,"WEC organizes workshops on women safety, legal rights, health awareness, and career development specifically targeted at female students.",Ms. K. Suneetha,"Open to all female students, attend any WEC program, register with student affairs office"
Finance and Investment Club,Academic,"The Finance Club organizes stock market simulations, financial literacy workshops, and discussions on investment strategies. Prepares students for finance careers.",Dr. N. Bhavani,"Fill interest form, attend stock market simulation session, demonstrate basic financial interest"
